"","Group.1","License_Number","Total_Sales"
"616",416006,416006,1620
"617",416024,416024,9
"618",416027,416027,1344
"619",416039,416039,15691
"620",416046,416046,3675
"621",416063,416063,1051422
"622",416068,416068,90683
"623",416081,416081,26155
"624",416089,416089,49180
"625",416106,416106,3569
"626",416107,416107,834741
"627",416117,416117,40571
"628",416124,416124,15879
"629",416125,416125,281583
"630",416127,416127,14
"631",416155,416155,114308
"632",416175,416175,11836
"633",416184,416184,3746.26
"634",416226,416226,69131
"635",416231,416231,229111
"636",416236,416236,314750.11
"637",416308,416308,109413
"638",416310,416310,3750
"639",416312,416312,880
"640",416315,416315,163947
"641",416334,416334,465093
"642",416339,416339,5706
"643",416387,416387,368217.3
"644",416393,416393,118348.02
"645",416400,416400,300289
"646",416406,416406,276259
"647",416409,416409,4186
"648",416412,416412,133750
"649",416417,416417,2580
"650",416426,416426,190625
"651",416431,416431,221474
"652",416432,416432,0.04
"653",416448,416448,367156
"654",416450,416450,12730
"655",416462,416462,44946
"656",416486,416486,4735
"657",416499,416499,233521
"658",416502,416502,343349.02
"659",416517,416517,241370
"660",416519,416519,342289.04
"661",416527,416527,254673
"662",416530,416530,167413
"663",416538,416538,228
"664",416539,416539,555461
"665",416544,416544,182982
"666",416545,416545,10466
"667",416548,416548,290774.73
"668",416551,416551,384997
"669",416557,416557,540
"670",416561,416561,12874
"671",416562,416562,NA
"672",416566,416566,56363
"673",416585,416585,472974
"674",416606,416606,775479.12
"675",416612,416612,20900
"676",416614,416614,46569
"677",416627,416627,27540
"678",416657,416657,6702
"679",416658,416658,1160
"680",416661,416661,3245
"681",416665,416665,535
"682",416700,416700,50407
"683",416732,416732,4521.38
"684",416737,416737,76148
"685",416739,416739,625
"686",416746,416746,538071
"687",416751,416751,467217.16
"688",416759,416759,21214
"689",416795,416795,324260
"690",416800,416800,206814
"691",416804,416804,223309.09
"692",416809,416809,30121
"693",416829,416829,365.98
"694",416840,416840,NA
"695",416843,416843,822926
"696",416850,416850,20
"697",416853,416853,50007
"698",416859,416859,766902
"699",416870,416870,7950
"700",416880,416880,0.07
"701",416894,416894,2160
"702",416911,416911,19986
"703",416942,416942,21500
"704",416958,416958,0.01
"705",416961,416961,12973
"706",416968,416968,268129
"707",416971,416971,3270
"708",417002,417002,128260.37
"709",417024,417024,19000
"710",417053,417053,226559
"711",417055,417055,196048
"712",417068,417068,291874
"713",417069,417069,1250
"714",417075,417075,480
"715",417078,417078,13
"716",417082,417082,44995
"717",417100,417100,9296
"718",417121,417121,3479
"719",417142,417142,79637
"720",417147,417147,254532.01
"721",417156,417156,144060
"722",417157,417157,18803
"723",417168,417168,425729
"724",417179,417179,3832
"725",417185,417185,25
"726",417198,417198,8900
"727",417214,417214,87194
"728",417216,417216,81068
"729",417236,417236,1908
"730",417252,417252,54
"731",417274,417274,52413
"732",417276,417276,11296.03
"733",417307,417307,90336
"734",417335,417335,198307.96
"735",417346,417346,31284
"736",417355,417355,15067
"737",417379,417379,145244
"738",417381,417381,2199
"739",417385,417385,54723
"740",417388,417388,82077
"741",417394,417394,31476
"742",417395,417395,37886
"743",417398,417398,23030
"744",417443,417443,62868
"745",417460,417460,821660
"746",417496,417496,49566
"747",417511,417511,824365
"748",417513,417513,4360
"749",417525,417525,134253
"750",417526,417526,137891
"751",417571,417571,1900607
"752",417585,417585,NA
"753",417586,417586,155690
"754",417623,417623,297036
"755",417631,417631,107911.07
"756",417643,417643,1171488
"757",417698,417698,539906
"758",417735,417735,0.15
"759",417794,417794,371640
"760",417891,417891,0.98
"761",417950,417950,146713
"762",418295,418295,102997
"763",418322,418322,16286
"764",418372,418372,46
"765",418408,418408,65587
"766",418524,418524,575998
"767",418910,418910,26558
"768",419100,419100,94300.23
"769",419150,419150,175244
"770",419395,419395,14137
"771",419640,419640,526725
"772",419690,419690,7.09
"773",419691,419691,9
"774",419759,419759,533819
"775",419959,419959,186821
"776",419969,419969,37016
"777",420031,420031,18700
"778",420123,420123,1871
"779",420213,420213,299722
