,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due
25,26,85984,658,SEATTLE                 ,,KING,,85984,,PO BOX 14151                  ,MILL CREEK              ,WA,                         ,980822151.0,THE JOINT LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,7250 RAINIER AVE S            ,                         ,THE JOINT LLC                                ,6.03303e+15,981183884.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
28,29,86743,586,TUMWATER                ,,THURSTON,,86743,,4430 ROXANNA LOOP SE          ,LACEY                   ,WA,                         ,985035596.0,CD BEELS INVESTMENTS LLC.,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,408 CLEVELAND AVE SE          ,                         ,SPARKED RECREATIONAL MARIJUANA               ,6.03525e+15,985013314.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
34,35,88809,677,SPOKANE VALLEY          ,,SPOKANE,,88809,,3927 E WELLESLEY AVE          ,SPOKANE                 ,WA,                         ,992176776.0,"THE WEED STORE, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,11519 E SPRAGUE AVE           ,                         ,"THE WEED STORE, LLC                          ",6.0355e+15,992065134.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
36,37,350987,374,TACOMA                  ,,PIERCE,,350987,,5405 104TH ST SW              ,LAKEWOOD                ,WA,                         ,984994803.0,WRIGHT-STUFF PRODUCTS LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,7052 PACIFIC AVE              ,                         ,KRONIC CONNECTION                            ,6.03366e+15,984087219.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
37,38,351821,340,RENTON                  ,,KING,,351821,,118 S WASHINGTON ST           ,SEATTLE                 ,WA,                         ,981042522.0,INVICTUS ASSETS LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,430 SUNSET BLVD N             ,                         ,INVICTUS ASSETS LLC                          ,6.03358e+15,980575512.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
38,39,351847,361,LAKEWOOD                ,,PIERCE,,351847,,12837 PACIFIC HWY SW          ,LAKEWOOD                ,WA,                         ,984991030.0,"MICHELSON,  KENNETH  LARRY",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151021.0,12837 PACIFIC HWY SW          ,                         ,KEN L MICHELSON                              ,6.03361e+15,984991030.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
39,40,353260,549,PORT TOWNSEND           ,,JEFFERSON,,353260,,282332 HIGHWAY 101 STE 2      ,PORT TOWNSEND           ,WA,                         ,983688700.0,"SEA CHANGE, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,282332 HIGHWAY 101 STE 2      ,                         ,SEA CHANGE CANNABIS                          ,6.03353e+15,983688700.0,,1,0,0,0,353260.0,1754515,506166.0,4.84998759,1,True,14.37770302,13.13461996
42,43,354965,724,SEDRO WOOLLEY           ,,SKAGIT,,354965,,10225 WARFIELD RD             ,SEDRO WOOLLEY           ,WA,                         ,982848646.0,WHISTLEPUNK POT SHOP LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,707 METCALF ST                ,                         ,WHISTLEPUNK POT SHOP                         ,6.0355e+15,982841420.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
47,48,355804,345,LAKEWOOD                ,,PIERCE,,355804,,12837 PACIFIC HWY SW          ,LAKEWOOD                ,WA,                         ,984990000.0,"MICHELSON,  JORDAN  KENNETH",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,12825 PACIFIC HWY SW          ,                         ,J & K CANNABIS                               ,6.03089e+15,984991030.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
48,49,359083,479,SPOKANE                 ,,SPOKANE,,359083,,10169 ROAD H NW               ,EPHRATA                 ,WA,                         ,988239632.0,LOOPY'S CANNABIS LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151023.0,4507 W WELLESLEY AVE          ,                         ,NIRVANA BUDS                                 ,6.03551e+15,992051973.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
50,51,360846,524,SEATTLE                 ,,KING,,360846,,3212 BEACON AVE S APT 201     ,SEATTLE                 ,WA,                         ,981446341.0,POST ONE LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151022.0,1924 1ST AVE                  ,                         ,POST ONE LLC                                 ,6.03361e+15,981011091.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
51,52,365037,578,SNOHOMISH               ,,SNOHOMISH,,365037,,PO BOX 1429                   ,LAKE STEVENS            ,WA,                         ,982581429.0,SMP RETAIL LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,16510 STATE ROUTE 9 SE        ,                         ,SMP RETAIL                                   ,6.03349e+15,982968370.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
52,53,365422,363,SPOKANE VALLEY          ,,SPOKANE,,365422,,PO BOX 15353                  ,SPOKANE VALLEY          ,WA,                         ,992155353.0,"JACOBS,  KEVIN  L",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,11420 E SPRAGUE AVE STE A     ,                         ,KEVIN L JACOBS                               ,6.02328e+15,992065224.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
56,57,400209,686,EASTSOUND               ,,SAN JUAN,,400209,,PO BOX 1695                   ,EASTSOUND               ,WA,                         ,982451695.0,MATT S  LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151027.0,837 A CRESCENT BEACH RD       ,                         ,TOKEN HERB                                   ,6.03352e+15,982451695.0,,1,0,0,0,400209.0,494411,152800.0,3.850031466,2,True,13.11112243,11.93688516
59,60,401700,463,OLYMPIA                 ,,THURSTON,,401700,,5021 MUD BAY RD NW            ,OLYMPIA                 ,WA,                         ,985021734.0,"DAVIS,  ROBERT  DORD",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,5021 MUD BAY RD NW            ,                         ,MUD BAY MEDS                                 ,6.00407e+15,985021734.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
60,61,402039,309,SEATTLE                 ,,KING,,402039,,716 NW 65TH ST                ,SEATTLE                 ,WA,                         ,981175049.0,BUBBLE BOUTIQUE LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151011.0,716 NW 65TH ST                ,                         ,HERB'S HOUSE                                 ,6.03285e+15,981175049.0,,1,0,0,0,402039.0,2784688,880847.0,3.100006362,3,True,14.8396464,13.68863922
63,64,402107,20,SEATTLE                 ,,KING,,402107,,1020 N 192ND ST #2C           ,SHORELINE               ,WA,                         ,981330000.0,BCD ENTERPRISES INC.,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,10522 LAKE CITY WAY NE STE    ,C103 & C104              ,A GREENER TODAY RECREATIONAL                 ,6.0345e+15,981250000.0,,1,0,0,0,402107.0,481498,159523.0,2.59999494,3,True,13.08465736,11.97994339
66,67,404432,428,SEATTLE                 ,,KING,,404432,,2506 S JACKSON ST STE 205     ,SEATTLE                 ,WA,                         ,981442367.0,"MAGIC TREE COLLECTIVE 206, INC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151103.0,5963 4TH AVE S                ,                         ,"MAGIC TREE COLLECTIVE 206, INC               ",6.03219e+15,981083209.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
77,78,408406,310,GIG HARBOR              ,,PIERCE,,408406,,19207 ROUSE ROAD KP S         ,LONGBRANCH              ,WA,                         ,983519586.0,"HERB-N-WELLNESS, INC.",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,11717 STATE ROUTE 302 NW      ,                         ,"HERB-N-WELLNESS, INC.                        ",6.03475e+15,983297223.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
78,79,408694,174,LACEY                   ,,THURSTON,,408694,,3202 15TH AVE W               ,SEATTLE                 ,WA,                         ,981191705.0,KF INDUSTRIES LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151024.0,1123 SLEATER KINNEY RD SE     ,                         ,EARTH ALTERNATIVE MEDICINE                   ,6.03402e+15,985032300.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
86,87,410798,267,SPOKANE                 ,,SPOKANE,,410798,,1403 N DIVISION ST STE A      ,SPOKANE                 ,WA,                         ,992021810.0,"GREEN STAR CANNABIS, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,1403 N DIVISION ST STE A      ,                         ,GREEN STAR CANNABIS                          ,6.03351e+15,992021810.0,,1,0,0,0,410798.0,3176954,935966.0,4.599984276,0,False,14.97143343,13.74933443
87,88,410831,317,MAPLE VALLEY            ,,KING,,410831,,5505 EVERGREEN WAY            ,EVERETT                 ,WA,                         ,982033638.0,HERBS & BUDS LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151017.0,26207 MAPLE VALLEY BLACK DIAMO,                         ,HERBS & BUDS LLC                             ,6.03359e+15,98038.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
88,89,411175,576,OLYMPIA                 ,,THURSTON,,411175,,9622 PACIFIC HWY SE           ,OLYMPIA                 ,WA,                         ,985139524.0,SMOKE BOX LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151103.0,9321 MARTIN WAY E STE 102     ,                         ,SMOKE BOX                                    ,6.03551e+15,985165928.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
89,90,411322,356,STANWOOD                ,,SNOHOMISH,,411322,,1370 JOHN ST                  ,CAMANO ISLAND           ,WA,                         ,982828433.0,JYE ENTERPRISE,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,9730 STATE ROUTE 532 STE F    ,                         ,JYE ENTERPRISE                               ,6.0355e+15,982928054.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
140,141,412066,548,CLAYTON                 ,,STEVENS,,412066,,PO BOX 354                    ,CLAYTON                 ,WA,                         ,991100354.0,"DEKAY,  SCOTT  CHARLES",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,4428 WILLIAMS VALLEY RD STE A ,                         ,SAVAGE THC                                   ,6.0328e+15,991109745.0,,1,0,0,0,412066.0,862026,253619.0,4.599997711,0,False,13.66704071,12.44358842
235,236,412133,220,WARDEN                  ,,GRANT,,412133,,225 S 10TH AVE                ,OTHELLO                 ,WA,                         ,993441420.0,D.MARTINEZ  LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,4785 ROAD W SE                ,                         ,GCL & CO.                                    ,6.03347e+15,988579348.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
247,248,412142,726,FEDERAL WAY             ,,KING,,412142,,25450 SE 274TH PL             ,MAPLE VALLEY            ,WA,                         ,980382041.0,WHITE RHINO LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,1702 S 312TH ST STE A         ,                         ,WHITE RHINO LLC                              ,6.0355e+15,980034973.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
507,508,412370,417,MOUNT VERNON            ,,SKAGIT,,412370,,12454 GWEN DR #6              ,BURLINGTON              ,WA,                         ,982333828.0,LOVING FARMS LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151023.0,2615 OLD HIGHWAY 99 S         ,                         ,LOVING FARMS                                 ,6.03348e+15,982730000.0,,1,0,0,0,412370.0,2082128,615307.0,4.350023889,3,True,14.54890101,13.32987661
602,603,412466,721,LONGVIEW                ,,COWLITZ,,412466,,4503 OCEAN BEACH HWY STE 103  ,LONGVIEW                ,WA,                         ,986325055.0,S.S. ENTERPRISING LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,4503 OCEAN BEACH HWY STE 103  ,                         ,WESTSIDE420 RECREATIONAL                     ,6.03074e+15,986325055.0,,1,0,0,0,412466.0,794995,228384.0,3.980006962,2,True,13.5860911,12.3387837
612,613,412480,412,DES MOINES              ,,KING,,412480,,32214 116TH AVE SE            ,AUBURN                  ,WA,                         ,980924818.0,LIVE WELL TODAY LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,24401 PACIFIC HWY S           ,                         ,LIVE WELL TODAY LLC                          ,6.03546e+15,981984027.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
618,619,412485,164,PACIFIC                 ,,PIERCE,,412485,,PO BOX 5344                   ,TACOMA                  ,WA,                         ,984150344.0,"DANK'S WONDER EMPORIUM, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,136 STEWART RD SE STE 1-G     ,                         ,DANK'S WONDER EMPORIUM                       ,6.0335e+15,980472143.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
628,629,412494,675,AUBURN                  ,,KING,,412494,,39307 AUBURN ENUMCLAW RD SE   ,AUBURN                  ,WA,                         ,980929300.0,"THE STASH BOX, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,3108 A ST SE STE F            ,                         ,THE STASH BOX                                ,6.0335e+15,980028811.0,,1,0,0,0,412494.0,3299499,1050371.0,3.849989087,2,True,15.0092812,13.86465399
630,631,412495,632,MOSES LAKE              ,,GRANT,,412495,,8420 ASPI BLVD STE 3          ,MOSES LAKE              ,WA,                         ,988373601.0,AMY DALLUGE ENTERPRISE L.L.C.,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151023.0,8420 ASPI BLVD STE 3          ,                         ,THE GREEN SEED                               ,6.03346e+15,988373601.0,,1,0,0,0,412495.0,1243614,371823.0,4.349987038,0,False,14.03353221,12.82617321
939,940,412777,106,TACOMA                  ,,PIERCE,,412777,,2706 6TH AVE                  ,TACOMA                  ,WA,                         ,984067213.0,"TRIPLE C COLLECTIVE, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,2708 6TH AVE                  ,                         ,CANNABIS CLUB                                ,6.03137e+15,984067213.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1028,1029,412865,171,BRIDGEPORT              ,,DOUGLAS,,412865,,4835 Y ST                     ,WASHOUGAL               ,WA,                         ,986717478.0,DOUGLAS COUNTY 502 LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,2512 FOSTER CREEK AVE         ,                         ,DOUGLAS COUNTY 502                           ,6.03422e+15,988130000.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1079,1080,412910,486,SEATTLE                 ,,KING,,412910,,14241 NE WOODINVILLE DUVALL RD,WOODINVILLE             ,WA,                         ,980728564.0,NORTHWEST CANNABIS MARKET INC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151023.0,2329 RAINIER AVE S            ,                         ,NORTHWEST CANNABIS MARKET                    ,6.03305e+15,981445302.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1086,1087,412921,648,PORT ANGELES            ,,CLALLAM,,412921,,1405 GEORGIANA ST             ,PORT ANGELES            ,WA,                         ,983624505.0,"THE HIDDEN BUSH, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151023.0,3230 E HWY 101                ,                         ,THE HIDDEN BUSH                              ,6.03351e+15,983629073.0,,1,0,0,0,412921.0,1943466,583878.0,3.850003225,2,True,14.47998353,13.27744734
1087,1088,412922,217,SEATTLE                 ,,KING,,412922,,12001 AURORA AVE N            ,SEATTLE                 ,WA,                         ,981338249.0,FWEEDOM INCORPORATED,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151015.0,12001 AURORA AVE N STE C      ,                         ,FWEEDOM COLLECTIVE                           ,6.0283e+15,981338249.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1089,1090,412923,231,TACOMA                  ,,PIERCE,,412923,,10422 PACIFIC AVE S STE B     ,TACOMA                  ,WA,                         ,984446052.0,"GREEN COLLAR CANNABIS, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,10422 PACIFIC AVE S STE B     ,                         ,GREEN COLLAR CANNBIS                         ,6.03348e+15,984446052.0,,1,0,0,0,412923.0,331392,122615.0,1.479998643,0,False,12.71105724,11.71680464
1090,1091,412924,254,TACOMA                  ,,PIERCE,,412924,,PO BOX 65914                  ,TACOMA                  ,WA,                         ,984640046.0,"MACKLIN,  CYNTHIA",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,4534 S PINE ST                ,                         ,GREEN LIGHT II                               ,6.0355e+15,984096527.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1095,1096,412930,355,BELLINGHAM              ,,WHATCOM,,412930,,1101 GRANT ST                 ,BELLINGHAM              ,WA,                         ,982255210.0,JRS OPERATIONS LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151021.0,2119 LINCOLN ST               ,                         ,JRS OPERATIONS LLC                           ,6.03551e+15,982254147.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1388,1389,413268,255,PORT ANGELES            ,,CLALLAM,,413268,,333A E 1ST ST                 ,PORT ANGELES            ,WA,                         ,983623105.0,"MJ, INC.",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151030.0,333A E 1ST ST                 ,                         ,GREEN ORCHARD                                ,6.03334e+15,983623105.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1415,1416,413295,422,PASCO                   ,,FRANKLIN,,413295,,3411 N CAPITOL AVE            ,PASCO                   ,WA,                         ,993019556.0,LUCKY LEAF LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,3411 N CAPITOL AVE            ,                         ,LUCKY LEAF                                   ,6.03351e+15,993019556.0,,1,0,0,0,413295.0,123213,45589.0,0.7400157,0,False,11.72166984,10.72742174
1425,1426,413305,367,SEATTLE                 ,,KING,,413305,,3123 EASTLAKE AVE E           ,SEATTLE                 ,WA,                         ,981023801.0,"KALIA,  PAUL",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151029.0,3123 EASTLAKE AVE E           ,                         ,KING CROSS RETAILER                          ,6.02721e+15,981023801.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1433,1434,413314,3,BELLINGHAM              ,,WHATCOM,,413314,,4152 MERIDIAN #105-262        ,BELLINGHAM              ,WA,                         ,982260000.0,THE GREEN POT LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,5655 GUIDE MERIDIAN STE A     ,                         ,2020 SOLUTIONS ON THE GUIDE                  ,6.03415e+15,982269722.0,,1,0,0,0,413314.0,1778060,542220.0,3.850006392,0,False,14.39103344,13.2034271
1438,1439,413320,104,SEATTLE                 ,,KING,,413320,,3205 148TH AVE SE STE H       ,BELLEVUE                ,WA,                         ,980076262.0,"CANNABIS CITY, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,2726 3RD AVE S                ,                         ,CANNABIS CITY                                ,6.03339e+15,981341909.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1460,1461,413347,590,SPOKANE                 ,,SPOKANE,,413347,,PO BOX 48692                  ,SPOKANE                 ,WA,                         ,992182068.0,NW GREEN LEAF LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151011.0,9107 N COUNTRY HOMES BLVD STEB,                         ,SPOKANE GREEN LEAF                           ,6.03351e+15,992182071.0,,1,0,0,0,413347.0,4618645,1302841.0,4.849997698,1,True,15.34561193,14.08005782
1465,1466,413358,143,TACOMA                  ,,PIERCE,,413358,,8001 S HOSMER ST              ,TACOMA                  ,WA,                         ,984081017.0,LLJ MANAGEMENT LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151015.0,8001 S HOSMER ST              ,                         ,CLEAR CHOICE CANNABIS                        ,6.03267e+15,984081017.0,,1,0,0,0,413358.0,6037402,1785920.0,4.599996101,2,True,15.61348434,14.39544425
1469,1470,413361,37,SEATTLE                 ,,KING,,413361,,5435 CALIFORNIA AVE SW        ,SEATTLE                 ,WA,                         ,981361512.0,ALTERNATIVE MEDICINE COLLECTIVE LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151031.0,5435 CALIFORNIA AVE SW        ,                         ,ALTERNATIVE MEDICINE COLLECTIVE LLC          ,6.03272e+15,981361512.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
1471,1472,413363,183,TACOMA                  ,,PIERCE,,413363,,2406 OLYMPIA AVE NE           ,RENTON                  ,WA,                         ,980562453.0,"DUNN,  LEROY",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,2702 6TH AVE                  ,                         ,EMERALD LEAVES                               ,6.01983e+15,984067213.0,,1,0,0,0,413363.0,1609956,520375.0,3.099995128,1,True,14.29171741,13.16230498
