,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due,age,months_old
17,18,83087,1540,WINTHROP                ,BELLINGHAM              ,OKANOGAN,20140101.0,83087,                         ,20 WESTERN LN                 ,,,,,"HAMSTERDAM, L.L.C.",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,303 RIVERSIDE AVE             ,                         ,HAMSTERDAM                                   ,6.03357e+15,988620017.0,982297879.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
18,19,83309,1449,TACOMA                  ,TACOMA                  ,PIERCE,20131121.0,83309,                         ,722 S 38TH ST                 ,,,,,GREEN GRASSHOPPER LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,722 S 38TH ST                 ,                         ,GREEN GRASSHOPPER                            ,6.03348e+15,984186718.0,984186718.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5333333333,26.5333333333
21,22,84045,769,VANCOUVER               ,VANCOUVER               ,CLARK,20150128.0,84045,                         ,212 NE 164TH AVE STE 11       ,,,,,RWZ LLC,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,212 NE 164TH AVE STE 11       ,                         ,THE HERBERY                                  ,6.03355e+15,986840000.0,986840000.0,0,0,0,1,84045.0,3669504,1168113.0,3.09999856,2,True,15.11556706,13.97090018,12.1,12.1
22,23,85086,1403,WOODINVILLE             ,REDMOND                 ,KING,20131221.0,85086,                         ,8201 164TH AVE NE STE 200     ,,,,,GOOD NEWS EVERYONE LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,17317 140TH AVE NE            ,                         ,GOOD NEWS EVERYONE                           ,6.03344e+15,980726879.0,980527615.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.5333333333,25.5333333333
24,25,85209,1254,EVERETT                 ,EVERETT                 ,SNOHOMISH,20140101.0,85209,                         ,PO BOX 3182                   ,,,,,DIME BAG KIOSK LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,6915 EVERGREEN WAY            ,                         ,DIME BAG KIOSK                               ,6.03357e+15,982035149.0,982131182.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
26,27,86138,586,TACOMA                  ,TACOMA                  ,PIERCE,20131217.0,86138,                         ,4823 S 66TH ST                ,,,,,"KWEEN BEE MANAGEMENT, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,4823 S 66TH ST                ,                         ,SENSISOLUTIONS                               ,6.03352e+15,984091101.0,984091101.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.6666666667,25.6666666667
27,28,86387,908,HOQUIAM                 ,HOQUIAM                 ,GRAYS HARBOR,20140101.0,86387,                         ,506 K ST                      ,,,,,WE BE BUDS LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,905 SIMPSON AVE               ,                         ,WE BE BUDS                                   ,6.03359e+15,985503814.0,985503534.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
29,30,87498,1670,SEATTLE                 ,SEATTLE                 ,KING,20131120.0,87498,                         ,1752 NW MARKET ST # 920       ,,,,,"EH ENTERPRISES MANAGEMENT, INC.",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,923 SOUTH BAY VIEW STE 200    ,                         ,EVERGREEN HERBAL                             ,6.03271e+15,981340000.0,981075264.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
30,31,87498,1222,SEATTLE                 ,SEATTLE                 ,KING,20131120.0,87498,                         ,1752 NW MARKET ST # 920       ,,,,,"EH ENTERPRISES MANAGEMENT, INC.",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,923 SOUTH BAY VIEW STE 200    ,                         ,EVERGREEN HERBAL                             ,6.03271e+15,981340000.0,981075264.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
31,32,87932,1145,PUYALLUP                ,SUMNER                  ,PIERCE,20131120.0,87932,                         ,PO BOX 2324                   ,,,,,CANNABIZ INC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1109 RIVER RD                 ,                         ,CANNABIZ                                     ,6.03343e+15,983713848.0,983900520.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
32,33,88147,73,MONROE                  ,KIRKLAND                ,SNOHOMISH,20140101.0,88147,                         ,11308 124TH AVE NE UNIT 301   ,,,,,"IVI ENTERPRISE, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,214 N LEWIS ST                ,                         ,IVI ENTERPRISE                               ,6.02959e+15,982721504.0,980334636.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
33,34,88262,806,SOAP LAKE               ,EPHRATA                 ,GRANT,20131225.0,88262,                         ,7835 STATE ROUTE 283          ,,,,,"PIE BIRD, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,112 DAISY ST S                ,                         ,THE SMOKIAM                                  ,6.02679e+15,988519119.0,988239784.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
35,36,350026,179,PORT ANGELES            ,BREMERTON               ,CLALLAM,20131224.0,350026,                         ,405 NAVAL AVE                 ,,,,,PACIFIC LIQUOR INC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1246 W HWY 101                ,                         ,LAUGHING GRASS                               ,6.03221e+15,983639423.0,983124047.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4333333333,25.4333333333
40,41,353260,571,PORT TOWNSEND           ,PORT TOWNSEND           ,JEFFERSON,20150103.0,353260,                         ,282332 HIGHWAY 101 STE 2      ,,,,,"SEA CHANGE, LLC",MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,282332 HIGHWAY 101 STE 2      ,                         ,SEA CHANGE CANNABIS                          ,6.03353e+15,983688700.0,983688700.0,0,0,0,1,353260.0,1754515,506166.0,4.84998759,1,True,14.37770302,13.13461996,12.9333333333,12.9333333333
41,42,353565,587,ROSLYN                  ,TACOMA                  ,KITTITAS,20131225.0,353565,                         ,PO BOX 97176                  ,,,,,"KWEEN BEE MANAGEMENT, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,719 SOUTH 1ST                 ,                         ,SENSISOLUTIONS                               ,6.03352e+15,989250000.0,984970000.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
43,44,355606,1619,MONITOR                 ,WENATCHEE               ,CHELAN,20150520.0,355606,                         ,PO BOX 2268                   ,,,,,EL REY DE LA KUSH LLC,MARIJUANA PRODUCER TIER 1          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,3145 W MAIN ST                ,                         ,EL REY DE LA KUSH                            ,6.03508e+15,988360000.0,988072268.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,8.36666666667,8.36666666667
44,45,355606,1182,MONITOR                 ,WENATCHEE               ,CHELAN,20150520.0,355606,                         ,PO BOX 2268                   ,,,,,EL REY DE LA KUSH LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,3145 W MAIN ST                ,                         ,EL REY DE LA KUSH                            ,6.03508e+15,988360000.0,988072268.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,8.36666666667,8.36666666667
45,46,355646,1133,TACOMA                  ,TACOMA                  ,PIERCE,20131119.0,355646,                         ,2406 6TH AVE                  ,,,,,"TRIPLE C COLLECTIVE, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2706 6TH AVE                  ,                         ,CANNABIS CLUB                                ,6.03137e+15,984067213.0,984067213.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
46,47,355804,75,LAKEWOOD                ,LAKEWOOD                ,PIERCE,20131225.0,355804,                         ,12837 PACIFIC HWY SW          ,,,,,"MICHELSON,  JORDAN  KENNETH",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,12825 PACIFIC HWY SW          ,                         ,J & K CANNABIS                               ,6.03089e+15,984991030.0,98499.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
53,54,368411,1015,BREMERTON               ,BREMERTON               ,KITSAP,20131217.0,368411,                         ,111 BRUENN AVENUE             ,,,,,UNITED WESTERN GREEN LLC,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,111 BRUENN AVENUE             ,                         ,UNITED WESTERN GREEN                         ,6.03485e+15,983120000.0,983120000.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.6666666667,25.6666666667
54,55,368411,721,BREMERTON               ,BREMERTON               ,KITSAP,20131217.0,368411,                         ,111 BRUENN AVENUE             ,,,,,UNITED WESTERN GREEN LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,111 BRUENN AVENUE             ,                         ,UNITED WESTERN GREEN                         ,6.03485e+15,983120000.0,983120000.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.6666666667,25.6666666667
55,56,369649,1381,EDMONDS                 ,BURIEN                  ,SNOHOMISH,20140110.0,369649,                         ,1042 S 130TH ST               ,,,,,"BUTTS IV,  GEORGE  WHITFIELD",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,22324 HWY 99                  ,                         ,GEORGE WHITFIELD BUTTS IV                    ,6.03288e+15,980268046.0,981682700.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,24.8666666667,24.8666666667
57,58,400209,830,EASTSOUND               ,EASTSOUND               ,SAN JUAN,20140811.0,400209,                         ,PO BOX 1695                   ,,,,,MATT S  LLC,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,837 A CRESCENT BEACH RD       ,                         ,TOKEN HERB                                   ,6.03352e+15,982451695.0,982451695.0,0,0,0,1,400209.0,494411,152800.0,3.850031466,2,True,13.11112243,11.93688516,17.7666666667,17.7666666667
58,59,401048,1399,GIG HARBOR              ,GIG HARBOR              ,PIERCE,20140107.0,401048,                         ,12402 134TH AVE KPN STE B     ,,,,,GOOD DAZE LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,12402 134TH AVE KPN           ,                         ,GOOD DAZE                                    ,6.0336e+15,983295544.0,983295544.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,24.9666666667,24.9666666667
61,62,402039,1566,SEATTLE                 ,SEATTLE                 ,KING,20150114.0,402039,                         ,716 NW 65TH ST                ,,,,,BUBBLE BOUTIQUE LLC,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,716 NW 65TH ST                ,                         ,HERB'S HOUSE                                 ,6.03285e+15,981175049.0,981175049.0,0,0,0,1,402039.0,2784688,880847.0,3.100006362,3,True,14.8396464,13.68863922,12.5666666667,12.5666666667
62,63,402107,49,SEATTLE                 ,SHORELINE               ,KING,20150331.0,402107,                         ,1020 N 192ND ST #2C           ,,,,,BCD ENTERPRISES INC.,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,10522 LAKE CITY WAY NE STE    ,C103 & C104              ,A GREENER TODAY RECREATIONAL                 ,6.0345e+15,981250000.0,981330000.0,0,0,0,1,402107.0,481498,159523.0,2.59999494,3,True,13.08465736,11.97994339,10.0333333333,10.0333333333
64,65,403367,1273,CLE ELUM                ,CLE ELUM                ,KITTITAS,20131225.0,403367,                         ,102 ELK POND RD               ,,,,,"SORRELL,  TIMOTHY  AUSTIN",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,214 N PENNSYLVANIA AVE        ,                         ,DOC'S 420 BAS                                ,6.03361e+15,989221135.0,989228911.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
65,66,403994,1159,OLYMPIA                 ,OLYMPIA                 ,THURSTON,20131203.0,403994,                         ,2747 PACIFIC AVE SE STE B14   ,,,,,ESPION LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2747 PACIFIC AVE SE           ,                         ,CANNATOPIA                                   ,6.02595e+15,985012097.0,985012097.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1333333333,26.1333333333
67,68,404933,513,PORT TOWNSEND           ,PORT TOWNSEND           ,JEFFERSON,20150820.0,404933,                         ,1443 W SIMS WAY               ,,,,,PENINSULA HERBAL LLC,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,2123 W SIMS WAY APT 1         ,                         ,REEFER DEN                                   ,6.03358e+15,983680000.0,983683026.0,0,0,0,1,404933.0,243310,90025.0,1.48001674,0,False,12.40209163,11.40784269,5.3,5.3
68,69,404991,443,SPOKANE VALLEY          ,SPOKANE                 ,SPOKANE,20131225.0,404991,                         ,1314 S GRAND BLVD STE 2 #263  ,,,,,"HERMOSA VENTURES, LLC",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,5004 E SPRAGUE AVE STE 103    ,                         ,PEAT                                         ,6.03355e+15,992120863.0,992021174.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
69,70,405540,1325,LAKEBAY                 ,BELFAIR                 ,PIERCE,20140107.0,405540,                         ,11 NE OLD BELFAIR HWY         ,,,,,EZ DAZE LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1304 KP N                     ,                         ,EZ DAZE                                      ,6.03359e+15,983490000.0,985289602.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,24.9666666667,24.9666666667
70,71,405661,1551,LONGVIEW                ,VANCOUVER               ,COWLITZ,20150812.0,405661,                         ,3614 SOUTH STREET             ,,,,,DELTA 9 GROWERS L.L.C.,MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,851 CALIFORNIA WAY STE G      ,                         ,DELTA 9 GROWERS                              ,6.03346e+15,986321665.0,986632550.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,5.56666666667,5.56666666667
71,72,405661,1130,LONGVIEW                ,VANCOUVER               ,COWLITZ,20150812.0,405661,                         ,3614 SOUTH STREET             ,,,,,DELTA 9 GROWERS L.L.C.,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,851 CALIFORNIA WAY STE G      ,                         ,DELTA 9 GROWERS                              ,6.03346e+15,986321665.0,986632550.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,5.56666666667,5.56666666667
72,73,406207,661,EVERETT                 ,WOODINVILLE             ,SNOHOMISH,20140104.0,406207,                         ,15403 210TH AVE NE            ,,,,,SUBLIME LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1822 BROADWAY                 ,                         ,SUBLIME                                      ,6.03357e+15,982012349.0,980777714.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.0666666667,25.0666666667
73,74,406784,1327,FEDERAL WAY             ,FEDERAL WAY             ,KING,20140107.0,406784,                         ,31220 PACIFIC HWY S           ,,,,,F.D. WAY GREEN INC.,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,31220 PACIFIC HWY S           ,                         ,F.D. WAY GREEN                               ,6.03359e+15,980035452.0,980035452.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,24.9666666667,24.9666666667
74,75,406864,20,SNOHOMISH               ,ARLINGTON               ,SNOHOMISH,20131122.0,406864,                         ,4523 196TH PL NE              ,,,,,THE 420 CONNECTION LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,17416 STATE ROUTE 9 SE        ,                         ,420 CONNECTION                               ,6.03349e+15,982966304.0,982234796.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5,26.5
75,76,407239,324,CAMAS                   ,CAMAS                   ,CLARK,20131211.0,407239,                         ,107 SE JAMES ST               ,,,,,GREEN LEAF ENTERPRISE L.L.C.,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,3520 NE 3RD AVE               ,                         ,MUNCHIES                                     ,6.03351e+15,986072411.0,986072422.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.8666666667,25.8666666667
76,77,408336,746,VANCOUVER               ,VANCOUVER               ,CLARK,20131225.0,408336,STE 101                  ,5930 E FOURTH PLAIN BLVD      ,,,,,"NEELY,  DANIEL  JAMES",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,5930 E FOURTH PLAIN BLVD # 101,                         ,THE GREEN ROOM                               ,6.0336e+15,986616984.0,986868603.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.4,25.4
79,80,409567,1258,DES MOINES              ,DES MOINES              ,KING,20131120.0,409567,                         ,26621 19TH AVE S              ,,,,,"DIVINE,  CHARLES",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,27067 PACIFIC HWY S           ,                         ,DIVINE INHALATION                            ,6.03351e+15,981989250.0,981989256.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
80,81,409703,459,YAKIMA                  ,YAKIMA                  ,YAKIMA,20131126.0,409703,                         ,1893 YOUNG GRADE RD           ,,,,,ORGROW LLC,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1893 YOUNG GRADE RD STE A     ,                         ,ORGROW                                       ,6.03355e+15,989089483.0,989089483.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.3666666667,26.3666666667
81,82,409703,327,YAKIMA                  ,YAKIMA                  ,YAKIMA,20131126.0,409703,                         ,1893 YOUNG GRADE RD           ,,,,,ORGROW LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1893 YOUNG GRADE RD STE A     ,                         ,ORGROW                                       ,6.03355e+15,989089483.0,989089483.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.3666666667,26.3666666667
82,83,410332,1000,SEATTLE                 ,SEATTLE                 ,KING,20150615.0,410332,                         ,118 S WASHINGTON ST           ,,,,,AMERICAN MARY LLC,MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,321 NE 45TH ST                ,                         ,AMERICAN MARY                                ,6.03345e+15,981056133.0,981040000.0,0,0,0,1,410332.0,284725,104882.0,2.100006624,3,True,12.55927908,11.56059119,7.5,7.5
83,84,410738,1855,TACOMA                  ,KENT                    ,PIERCE,20140101.0,410738,                         ,23119 178TH AVE SE            ,,,,,GREEN GENESIS INC.,MARIJUANA PRODUCER TIER 1          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2940 S M STREET STE C         ,                         ,GREEN GENESIS                                ,6.03355e+15,984098241.0,980424717.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
84,85,410738,1359,TACOMA                  ,KENT                    ,PIERCE,20140101.0,410738,                         ,23119 178TH AVE SE            ,,,,,GREEN GENESIS INC.,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2940 S M STREET STE C         ,                         ,GREEN GENESIS                                ,6.03355e+15,984098241.0,980424717.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,25.1666666667,25.1666666667
85,86,410798,1489,SPOKANE                 ,SPOKANE                 ,SPOKANE,20141203.0,410798,                         ,1403 N DIVISION ST STE A      ,,,,,"GREEN STAR CANNABIS, LLC",MARIJUANA RETAILER                 ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,1403 N DIVISION ST STE A      ,                         ,GREEN STAR CANNABIS                          ,6.03351e+15,992021810.0,992021810.0,0,0,0,1,410798.0,3176954,935966.0,4.599984276,0,False,14.97143343,13.74933443,13.9666666667,13.9666666667
90,91,412015,1163,TACOMA                  ,SILVANA                 ,PIERCE,20131119.0,412015,                         ,PO BOX 88                     ,,,,,AHUI LLC,MARIJUANA PRODUCER TIER 1          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,3303 S 35TH ST                ,STE A4                   ,AHUI                                         ,6.03483e+15,984090000.0,982870000.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
91,92,412015,837,TACOMA                  ,SILVANA                 ,PIERCE,20131119.0,412015,                         ,PO BOX 88                     ,,,,,AHUI LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,3303 S 35TH ST                ,STE A4                   ,AHUI                                         ,6.03483e+15,984090000.0,982870000.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
92,93,412016,489,SPOKANE                 ,SPOKANE                 ,SPOKANE,20150715.0,412016,                         ,10517 W BALMER RD             ,,,,,"GAUNT,  DIANE  RENEE",MARIJUANA PRODUCER TIER 1          ,PENDING (ISSUED),PENDING        ,WA,WA,,10517 W BALMER RD #A          ,                         ,PAPA'S FARM                                  ,6.00274e+15,992249153.0,992249153.0,0,0,1,0,412016.0,23632,0.0,0.0,0,False,10.070357,#NAME?,6.5,6.5
