"","Group.1","License_Number","Total_Sales","Excise_Tax_Due","tax_rate"
"727",417214,417214,87194,NA,NA
"728",417216,417216,81068,NA,NA
"729",417236,417236,1908,NA,NA
"730",417252,417252,54,NA,NA
"731",417274,417274,52413,NA,NA
"732",417276,417276,11296.03,NA,NA
"733",417307,417307,90336,NA,NA
"734",417335,417335,198307.96,NA,NA
"735",417346,417346,31284,NA,NA
"736",417355,417355,15067,NA,NA
"737",417379,417379,145244,NA,NA
"738",417381,417381,2199,NA,NA
"739",417385,417385,54723,13682,1.50026218906406
"740",417388,417388,82077,NA,NA
"741",417394,417394,31476,NA,NA
"742",417395,417395,37886,NA,NA
"743",417398,417398,23030,NA,NA
"744",417443,417443,62868,NA,NA
"745",417460,417460,821660,NA,NA
"746",417496,417496,49566,NA,NA
"747",417511,417511,824365,259093,4.10002277129736
"748",417513,417513,4360,NA,NA
"749",417525,417525,134253,NA,NA
"750",417526,417526,137891,NA,NA
"751",417571,417571,1900607,NA,NA
"752",417585,417585,NA,NA,NA
"753",417586,417586,155690,NA,NA
"754",417623,417623,297036,NA,NA
"755",417631,417631,107911.07,NA,NA
"756",417643,417643,1171488,399330,2.35000385484526
"757",417698,417698,539906,NA,NA
"758",417735,417735,0.15,NA,NA
"759",417794,417794,371640,NA,NA
"760",417891,417891,0.98,NA,NA
"761",417950,417950,146713,NA,NA
"762",418295,418295,102997,NA,NA
"763",418322,418322,16286,NA,NA
"764",418372,418372,46,12,0.260869565217391
"765",418408,418408,65587,NA,NA
"766",418524,418524,575998,NA,NA
"767",418910,418910,26558,NA,NA
"768",419100,419100,94300.23,NA,NA
"769",419150,419150,175244,NA,NA
"770",419395,419395,14137,NA,NA
"771",419640,419640,526725,185053,2.34993127559717
"772",419690,419690,7.09,NA,NA
"773",419691,419691,9,NA,NA
"774",419759,419759,533819,171707,2.22998620036077
"775",419959,419959,186821,NA,NA
"776",419969,419969,37016,NA,NA
"777",420031,420031,18700,NA,NA
"778",420123,420123,1871,692,0.369855692143239
"779",420213,420213,299722,NA,NA
